neighborhood,lon,lat,n_events,period_start,period_end,source,source_version
Agincourt North (129),-79.26928393506104,43.810980375100264,13,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Agincourt South-Malvern West (128),-79.28002861084076,43.7889253690791,17,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Alderwood (20),-79.54538918515296,43.6065751977772,14,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Annex (95),-79.40380913861458,43.670104609767606,487,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Banbury-Don Mills (42),-79.3409210158811,43.73511850435992,29,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Bathurst Manor (34),-79.45175843487672,43.75609728872373,20,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Bay Street Corridor (76),-79.38436854475557,43.65730879641258,1154,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Bayview Village (52),-79.38403601743099,43.769051789694494,56,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Bayview Woods-Steeles (49),-79.3743681512798,43.797822785562154,8,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Bedford Park-Nortown (39),-79.42125788351791,43.72757981721193,50,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
