neighborhood,month,theft_count,lon,lat,time_index,month_of_year,year
Agincourt North (129),2014-01-01,0,-79.26671216328295,43.805440562864696,1,1,2014
Agincourt South-Malvern West (128),2014-01-01,0,-79.2656118002269,43.788657536163946,1,1,2014
Alderwood (20),2014-01-01,0,-79.54161093042093,43.60493688403101,1,1,2014
Annex (95),2014-01-01,2,-79.40400062928025,43.67158543003155,1,1,2014
Banbury-Don Mills (42),2014-01-01,0,-79.34971796126571,43.73765697400432,1,1,2014
Bathurst Manor (34),2014-01-01,0,-79.45605514611319,43.76481328101867,1,1,2014
Bay Street Corridor (76),2014-01-01,4,-79.38572124534863,43.657511330997565,1,1,2014
Bayview Village (52),2014-01-01,0,-79.37711685879394,43.776360508669505,1,1,2014
Bayview Woods-Steeles (49),2014-01-01,0,-79.3821179554524,43.796801856085374,1,1,2014
Bedford Park-Nortown (39),2014-01-01,0,-79.42022735886505,43.73148619626069,1,1,2014
Beechborough-Greenbrook (112),2014-01-01,0,-79.47947250865478,43.69321648359968,1,1,2014
Bendale (127),2014-01-01,0,-79.25740036192514,43.760366271465735,1,1,2014
Birchcliffe-Cliffside (122),2014-01-01,0,-79.26509262187423,43.69468193885,1,1,2014
Black Creek (24),2014-01-01,0,-79.52197931718258,43.76489023887292,1,1,2014
Blake-Jones (69),2014-01-01,0,-79.3373941737337,43.676172877463664,1,1,2014
Briar Hill-Belgravia (108),2014-01-01,0,-79.45285129984684,43.69902437760449,1,1,2014
Bridle Path-Sunnybrook-York Mills (41),2014-01-01,0,-79.37890416227515,43.73101311194996,1,1,2014
Broadview North (57),2014-01-01,1,-79.35562951364216,43.68882511190598,1,1,2014
Brookhaven-Amesbury (30),2014-01-01,0,-79.48558926457817,43.70132629947939,1,1,2014
Cabbagetown-South St.James Town (71),2014-01-01,4,-79.36610665903528,43.66764772385686,1,1,2014
Caledonia-Fairbank (109),2014-01-01,0,-79.4552120795635,43.688568647155336,1,1,2014
Casa Loma (96),2014-01-01,0,-79.40800664807479,43.68185209508544,1,1,2014
Centennial Scarborough (133),2014-01-01,0,-79.15084326996072,43.78237648034414,1,1,2014
Church-Yonge Corridor (75),2014-01-01,4,-79.37901716162628,43.65964884944928,1,1,2014
Clairlea-Birchmount (120),2014-01-01,0,-79.28138177798613,43.71359235501493,1,1,2014
Clanton Park (33),2014-01-01,0,-79.44630257728986,43.741978417593174,1,1,2014
Cliffcrest (123),2014-01-01,0,-79.23552957479994,43.721121141067144,1,1,2014
Corso Italia-Davenport (92),2014-01-01,0,-79.44746932943953,43.67766090308253,1,1,2014
