neighborhood,lon,lat
Agincourt North (129),-79.26671216328295,43.805440562864696
Agincourt South-Malvern West (128),-79.2656118002269,43.788657536163946
Alderwood (20),-79.54161093042093,43.60493688403101
Annex (95),-79.40400062928025,43.67158543003155
Banbury-Don Mills (42),-79.34971796126571,43.73765697400432
Bathurst Manor (34),-79.45605514611319,43.76481328101867
Bay Street Corridor (76),-79.38572124534863,43.657511330997565
Bayview Village (52),-79.37711685879394,43.776360508669505
Bayview Woods-Steeles (49),-79.3821179554524,43.796801856085374
Bedford Park-Nortown (39),-79.42022735886505,43.73148619626069
Beechborough-Greenbrook (112),-79.47947250865478,43.69321648359968
Bendale (127),-79.25740036192514,43.760366271465735
Birchcliffe-Cliffside (122),-79.26509262187423,43.69468193885
Black Creek (24),-79.52197931718258,43.76489023887292
Blake-Jones (69),-79.3373941737337,43.676172877463664
Briar Hill-Belgravia (108),-79.45285129984684,43.69902437760449
Bridle Path-Sunnybrook-York Mills (41),-79.37890416227515,43.73101311194996
Broadview North (57),-79.35562951364216,43.68882511190598
Brookhaven-Amesbury (30),-79.48558926457817,43.70132629947939
Cabbagetown-South St.James Town (71),-79.36610665903528,43.66764772385686
Caledonia-Fairbank (109),-79.4552120795635,43.688568647155336
Casa Loma (96),-79.40800664807479,43.68185209508544
Centennial Scarborough (133),-79.15084326996072,43.78237648034414
Church-Yonge Corridor (75),-79.37901716162628,43.65964884944928
Clairlea-Birchmount (120),-79.28138177798613,43.71359235501493
Clanton Park (33),-79.44630257728986,43.741978417593174
Cliffcrest (123),-79.23552957479994,43.721121141067144
Corso Italia-Davenport (92),-79.44746932943953,43.67766090308253
Danforth (66),-79.32981941388597,43.68402547142561
Danforth East York (59),-79.33140338933542,43.68946809019784
Don Valley Village (47),-79.35364413195393,43.783293676309825
Dorset Park (126),-79.2789079328611,43.75927434447322
Dovercourt-Wallace Emerson-Junction (93),-79.43854070116043,43.6656769257464
Downsview-Roding-CFB (26),-79.49049738436791,43.733292312253184
Dufferin Grove (83),-79.43734103751373,43.655428330164874
East End-Danforth (62),-79.29935867382727,43.68417387262764
Edenbridge-Humber Valley (9),-79.52245776503415,43.67088588914698
Eglinton East (138),-79.24559804211357,43.74092229023796
Elms-Old Rexdale (5),-79.54898271587403,43.72151885714892
Englemount-Lawrence (32),-79.43740854668668,43.720344647265435
Eringate-Centennial-West Deane (11),-79.58044525351775,43.65801672874765
Etobicoke West Mall (13),-79.56893876872303,43.64506261667645
Flemingdon Park (44),-79.33264596751758,43.71592974897502
Forest Hill North (102),-79.42814316750712,43.704217556724494
Forest Hill South (101),-79.41431786345333,43.69452574891732
Glenfield-Jane Heights (25),-79.51346530987723,43.74563573564186
Greenwood-Coxwell (65),-79.32431802090154,43.67261230021652
Guildwood (140),-79.19505535944825,43.74882932678334
Henry Farm (53),-79.34124066861594,43.771144139011675
High Park North (88),-79.46630216770625,43.65756491093699
High Park-Swansea (87),-79.46787222692247,43.64506457452669
Highland Creek (134),-79.1774724769542,43.79077475905604
Hillcrest Village (48),-79.35480400470398,43.80298781590062
Humber Heights-Westmount (8),-79.52241619766016,43.69223279051614
Humber Summit (21),-79.55617474460846,43.75891973308504
Humbermede (22),-79.54236711801718,43.7434295073787
Humewood-Cedarvale (106),-79.42768334947216,43.69136980411722
Ionview (125),-79.27247049505847,43.7353644000892
Islington-City Centre West (14),-79.54331653804603,43.633463294702935
Junction Area (90),-79.47143987276426,43.667889760215104
Keelesdale-Eglinton West (110),-79.4714371056747,43.68572746919965
Kennedy Park (124),-79.2603822126536,43.72555571340649
Kensington-Chinatown (78),-79.39723987739471,43.6535541286232
Kingsview Village-The Westway (6),-79.54786330865342,43.69899255941022
Kingsway South (15),-79.51057680194461,43.65352042227594
L'Amoreaux (117),-79.31408424727546,43.795716009853194
Lambton Baby Point (114),-79.49604524953277,43.65742012275136
Lansing-Westgate (38),-79.42474772579611,43.754271137278266
Lawrence Park North (105),-79.40397836524139,43.73006016831148
Lawrence Park South (103),-79.40603941914907,43.717211693960785
Leaside-Bennington (56),-79.36607234417629,43.703796594874674
Little Portugal (84),-79.43032271138112,43.64753592717682
Long Branch (19),-79.53334545408563,43.592361683027136
Malvern (132),-79.2225166213798,43.80365817700939
Maple Leaf (29),-79.48075801837139,43.715573934512385
Markland Wood (12),-79.57343154487708,43.63354173983873
Milliken (130),-79.27500893756222,43.82069077354423
Mimico (includes Humber Bay Shores) (17),-79.50013665098422,43.61592384473713
Morningside (135),-79.20704118793313,43.78239859566863
Moss Park (73),-79.36729702995146,43.656517618834606
Mount Dennis (115),-79.49998905493412,43.68814408279304
Mount Olive-Silverstone-Jamestown (2),-79.58725925980302,43.74686777792156
Mount Pleasant East (99),-79.38492394099212,43.70485215179517
Mount Pleasant West (104),-79.3933595525685,43.70443516328523
New Toronto (18),-79.51035809204086,43.60058858826094
Newtonbrook East (50),-79.40593744835854,43.79153578050072
Newtonbrook West (36),-79.4314215134344,43.785829927437725
Niagara (82),-79.41242040394009,43.63668087060661
North Riverdale (68),-79.35126041348335,43.67199514515696
North St.James Town (74),-79.37524657752182,43.669623407232905
O'Connor-Parkview (54),-79.31222776491182,43.70680048177226
Oakridge (121),-79.2797083448345,43.697408127371254
Oakwood Village (107),-79.43978547678283,43.68856555117282
Old East York (58),-79.33548836287208,43.69678126729079
Palmerston-Little Italy (80),-79.4184087281674,43.65915710120554
Parkwoods-Donalda (45),-79.33017950831689,43.755033453591466
Pelmo Park-Humberlea (23),-79.528282190996,43.7175145822485
Playter Estates-Danforth (67),-79.35488728710035,43.67970046819963
Pleasant View (46),-79.3349484197622,43.78698174107935
Princess-Rosethorn (10),-79.54455928434245,43.66605058821453
Regent Park (72),-79.3605088053568,43.659992140783885
Rexdale-Kipling (4),-79.56622840704554,43.723725464196825
Rockcliffe-Smythe (111),-79.49442045588019,43.67479044210717
Roncesvalles (86),-79.44299244306902,43.64612298805443
Rosedale-Moore Park (98),-79.37966939989423,43.6828204124932
Rouge (131),-79.18634336248219,43.82120115363213
Runnymede-Bloor West Village (89),-79.48570817771532,43.65926881162892
Rustic (28),-79.49809146920876,43.71160911048926
Scarborough Village (139),-79.2168126191311,43.73865184898304
South Parkdale (85),-79.4393378322998,43.636699519318434
South Riverdale (70),-79.33565132290826,43.6492919996662
St.Andrew-Windfields (40),-79.37903710013872,43.75624582245125
Steeles (116),-79.32120701072853,43.81295881783217
Stonegate-Queensway (16),-79.50112821107008,43.63551811593917
Tam O'Shanter-Sullivan (118),-79.30291871972979,43.78012984045799
Taylor-Massey (61),-79.2959011185942,43.69499818569401
The Beaches (63),-79.29960131609589,43.67104998326742
Thistletown-Beaumond Heights (3),-79.56349101320373,43.737987910453754
Thorncliffe Park (55),-79.34998360500312,43.70774920521462
Trinity-Bellwoods (81),-79.4153421638998,43.65017629672643
University (79),-79.40117974868369,43.66250619981047
Victoria Village (43),-79.31487382056616,43.72848900069367
Waterfront Communities-The Island (77),-79.3772023229936,43.63388032715952
West Hill (136),-79.17667602852293,43.767490240825325
West Humber-Clairville (1),-79.59635638981665,43.71618025578886
Westminster-Branson (35),-79.45241822037676,43.77881319903913
Weston (113),-79.51572254704779,43.70271604054647
Weston-Pellam Park (91),-79.46024390773562,43.673962032485946
Wexford/Maryvale (119),-79.29863655575355,43.7485720898956
Willowdale East (51),-79.40148379055928,43.770602244553096
Willowdale West (37),-79.42755780279825,43.77121048659164
Willowridge-Martingrove-Richview (7),-79.55422105562268,43.68364495301322
Woburn (137),-79.22858575507915,43.76674020159054
Woodbine Corridor (64),-79.31540737735443,43.67677291736932
Woodbine-Lumsden (60),-79.31116352540957,43.69410673833721
Wychwood (94),-79.42551494769461,43.67691926447834
Yonge-Eglinton (100),-79.40359016622641,43.70468936092784
Yonge-St.Clair (97),-79.39787076624125,43.68785886372433
York University Heights (27),-79.48888293166782,43.76573645429017
Yorkdale-Glen Park (31),-79.45710807275005,43.71467151108852
