month,month_label,seasonal_log,seasonal_multiplier
1,Jan,-0.3618820789368278,0.6963644790400797
2,Feb,-0.3490660773930432,0.7053465212707531
3,Mar,-0.23793186820830567,0.7882563945847697
4,Apr,-0.06182370049957611,0.9400486022818371
5,May,0.12728415031667953,1.1357396927285754
6,Jun,0.2775000817479117,1.3198262270367922
7,Jul,0.35213978379127225,1.4221072973752091
8,Aug,0.33598984265933046,1.399324811319929
9,Sep,0.23459792862014833,1.2644002873486169
10,Oct,0.07156599564513147,1.074189040160789
11,Nov,-0.11420791558296642,0.8920724608336784
12,Dec,-0.27416614215975427,0.7602057625409924
