task_horizon,fold,train_end,test_start,test_end,model,MAE,RMSE,R2,total_bias,total_actual,total_predicted,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test
12,1,60,61,72,Global mean,2.7718187102146685,5.820206326335322,-1.529972196556706e-4,-0.03247134097576943,3751,3629.199999999889,3.480833199349731,8.184334328217282,3.445694444444438,7.535403975123822,1692
12,1,60,61,72,Neighbourhood mean,1.6901497241922772,3.8095763990797624,0.5715076679656215,-0.0324713409757407,3751,3629.1999999999966,2.7275188916876574,5.41119193069616,2.614236111111111,5.028161664288671,1692
12,1,60,61,72,Recent 12-mo mean,1.7357171000788023,3.8491297513068563,0.5625637381416879,0.06424953345774558,3751,3992.0000000000036,2.8687027707808563,5.446840808862444,2.719444444444444,5.0798570764015265,1692
12,1,60,61,72,Seasonal naive,1.5171394799054365,3.1873160263043645,0.7000561702646412,0.0642495334577446,3751,3992,2.7342569269521406,4.508458325586659,2.339583333333331,4.153311931459037,1692
12,1,60,61,72,Basis OLS (log),1.4349913223994593,3.836207306011923,0.5654959632008156,-0.45127914907252376,3751,2058.2519118289633,2.764938693398194,5.575269036594974,2.2909711043261294,5.069892712658556,1692
12,1,60,61,72,Basis Ridge (tuned),1.4388825433991999,3.851828370776259,0.5619501512254179,-0.4560383656560458,3751,2040.4000904241723,2.7772960669775353,5.598599010663719,2.298736190855655,5.090687393008911,1692
12,1,60,61,72,Poisson (compact),1.606921465412759,4.455168694216203,0.41397251412975444,-0.3788688817741645,3751,2329.862824465109,2.8653872048049305,6.453772942797603,2.500509363266984,5.890950107944417,1692
12,1,60,61,72,"Poisson (area, tuned)",1.696278774662245,4.584892013042047,0.3793483675669225,-0.6053999418042079,3751,1480.1448182924164,3.3024713940119073,6.679378948436656,2.7221929547216757,6.0672254246937944,1692
12,1,60,61,72,Negative-binomial,1.5599583399518029,4.260289870876112,0.4641194695399955,-0.3277479707539698,3751,2521.6173617018594,2.757745590353395,6.168275149013858,2.417061116412915,5.631723573299179,1692
12,2,72,73,84,Global mean,2.7152840651878716,4.918289909232271,-0.0010498911986591697,-0.06876754274051139,3919,3649.499999999936,3.2776273945634866,6.623135577345416,3.533581810008994,6.647270176356143,1692
12,2,72,73,84,Neighbourhood mean,1.7853624901497243,3.501752089691988,0.49254414663096857,-0.06876754274049421,3919,3649.500000000003,2.8827764597337553,4.838532147918473,2.9523343766301515,4.8548352624999405,1692
12,2,72,73,84,Recent 12-mo mean,1.7821118991331764,3.5429301737288075,0.4805393441505572,-0.04286807859147753,3919,3750.9999999999995,2.9474100434954527,4.903589749808533,2.99452269170579,4.917064518000391,1692
12,2,72,73,84,Seasonal naive,1.654846335697399,3.441850621017647,0.5097568786753857,-0.04286807859147742,3919,3751,2.907473309608537,4.769789269948441,2.760563380281689,4.736978692811515,1692
12,2,72,73,84,Basis OLS (log),2.017098759292276,3.606112989623438,0.46184654369500455,0.43618949898764364,3919,5628.426646532575,2.7486227390038493,4.7785828965344,2.937893471563119,4.895038608585632,1692
12,2,72,73,84,Basis Ridge (tuned),2.0013557329065668,3.5744870185093998,0.4712444709392378,0.42596891815080723,3919,5588.3721902330135,2.7289884928291515,4.7371421382531125,2.9164529017670935,4.852000386041274,1692
12,2,72,73,84,Poisson (compact),7.640700060171696,16.348866387639916,-10.061213179694358,3.0524486026171145,3919,15881.546073656471,12.18577123337317,22.386453176409468,12.700801497684072,22.776042492654533,1692
12,2,72,73,84,"Poisson (area, tuned)",3.2115110672287277,7.872596088230775,-1.5648585170970408,1.0734204125062783,3919,8125.734596612105,5.123613141700622,10.965815570388253,5.324790851664061,11.006229316956121,1692
12,2,72,73,84,Negative-binomial,10.92481754342532,25.39592926739041,-25.690437397868905,4.516028554911696,3919,21617.315906698936,17.705417102861905,34.984772899114944,18.397740897427603,35.47303695444101,1692
12,3,84,85,96,Global mean,2.412278054423823,4.528982601550759,-0.0043099594261448715,0.15756434400501154,3186,3687.999999999967,2.661990682797942,6.1181113639893745,2.9473246095961128,6.077183830709741,1692
12,3,84,85,96,Neighbourhood mean,1.539907688843859,2.9708303640391325,0.5678622832084523,0.15756434400502112,3186,3687.9999999999973,2.3598856209150325,4.09941991325942,2.4846579476861166,4.115008894511635,1692
12,3,84,85,96,Recent 12-mo mean,1.6405634357762016,3.0637677093461497,0.5404019958489585,0.2300690521029507,3186,3919.000000000001,2.451593137254902,4.165185602787046,2.6482785602503913,4.220647974786994,1692
12,3,84,85,96,Seasonal naive,1.5726950354609996,3.0004924733687224,0.5591898882568423,0.2300690521029504,3186,3919,2.5539215686274526,4.016815146551885,2.4730046948356814,4.013913594911812,1692
