model,fold,test_start,test_end,n_train,n_test,MAE,RMSE,R2
Global mean,1,61,72,8400,1680,2.573879251700676,5.551498376671868,-4.099614208399327e-4
Global mean,2,73,84,10080,1680,2.529139266817836,4.656289283942154,-0.001764807132501156
Global mean,3,85,96,11760,1680,2.240458576287661,4.281955966681228,-0.0036966654096992624
Global mean,4,97,108,13440,1680,2.29369047619048,4.693272673734468,-0.004800680326841444
Neighbourhood mean,1,61,72,8400,1680,1.5759126984126985,3.6553078931398915,0.56628394220431
Neighbourhood mean,2,73,84,10080,1680,1.6656415343915343,3.324144494176778,0.48944133750350616
Neighbourhood mean,3,85,96,11760,1680,1.4458191609977324,2.830300855324191,0.5614861722130364
Neighbourhood mean,4,97,108,13440,1680,1.4783234126984128,3.1249898313326616,0.5545227156426638
Seasonal naive,1,61,72,8400,1680,1.4357142857142806,3.0978102865457404,0.6884934318251449
Seasonal naive,2,73,84,10080,1680,1.5565476190476242,3.3057489605951895,0.49507647868036275
Seasonal naive,3,85,96,11760,1680,1.4952380952380884,2.8670957596910003,0.5500103920740589
Seasonal naive,4,97,108,13440,1680,1.2970238095238116,2.610760699216125,0.6890701055134614
Basis OLS (log),1,61,72,8400,1680,1.4017026139056803,3.8626170296804148,0.5156928564226286
Basis OLS (log),2,73,84,10080,1680,1.6713312543379386,3.0067554143230115,0.5822830814838365
Basis OLS (log),3,85,96,11760,1680,1.2169635128927498,2.9362900242116967,0.5280282694365073
Basis OLS (log),4,97,108,13440,1680,1.0955276453865592,2.875189408712497,0.6228958893720058
Basis Ridge (log),1,61,72,8400,1680,1.4349303908959934,3.977718765768359,0.4863991644261345
Basis Ridge (log),2,73,84,10080,1680,1.5919501730740937,2.8551193665589008,0.6233530959318714
Basis Ridge (log),3,85,96,11760,1680,1.216805291121111,2.9427031249518634,0.5259643672857639
Basis Ridge (log),4,97,108,13440,1680,1.1046908319719777,2.9326294729410733,0.6076779332449602
Poisson GLM,1,61,72,8400,1680,1.4728845754367346,4.099249216226737,0.45453584318187534
Poisson GLM,2,73,84,10080,1680,4.823080106068377,10.495462750679684,-4.0896632101610155
Poisson GLM,3,85,96,11760,1680,1.3760669167317043,3.1480776871987737,0.4574884735842948
Poisson GLM,4,97,108,13440,1680,1.3210467443445335,3.425374867697161,0.46476493170376243
Negative-binomial GLM,1,61,72,8400,1680,1.4190494841530406,3.8224583553353373,0.5257109497516652
Negative-binomial GLM,2,73,84,10080,1680,5.967092268956424,14.845826326488657,-9.1834424530251
Negative-binomial GLM,3,85,96,11760,1680,1.4675521955736555,3.802575554496993,0.20845831458575748
Negative-binomial GLM,4,97,108,13440,1680,1.311926508034299,3.5732166304389446,0.41756557022538277
