month,actual,predicted,rel_bias
2025-01-01,63,78.46268620437921,0.24543946356157476
2025-02-01,35,75.08099782561412,1.1451713664461176
2025-03-01,126,85.5074983465736,-0.32136906074147936
2025-04-01,172,110.67739357214627,-0.3565267815572891
2025-05-01,221,147.10681248020984,-0.33435831456918624
2025-06-01,281,179.47751429441306,-0.36128998471739127
2025-07-01,257,187.51631468546114,-0.2703645342978166
2025-08-01,320,164.94318817509006,-0.48455253695284356
2025-09-01,282,124.36330029829665,-0.5589953890131324
2025-10-01,222,84.39094118386411,-0.6198606252979093
2025-11-01,94,55.81423174843328,-0.40623157714432684
2025-12-01,52,37.80909112509199,-0.272902093748231
