neighborhood,actual_total,predicted_total,rel_bias
Agincourt North (129),5,0.26257883558868333,-0.9474842328822634
Agincourt South-Malvern West (128),4,0.9987660053448599,-0.750308498663785
Alderwood (20),1,0.5159759893774771,-0.48402401062252287
Annex (95),80,61.136473357588066,-0.23579408303014918
Banbury-Don Mills (42),4,1.4208766474161134,-0.6447808381459716
Bathurst Manor (34),4,1.0229421295203398,-0.744264467619915
Bay Street Corridor (76),189,142.9591735372936,-0.243602256416436
Bayview Village (52),7,4.028363489629438,-0.42451950148150885
Bayview Woods-Steeles (49),3,0.11169014870112132,-0.9627699504329595
Bedford Park-Nortown (39),4,2.122087668157736,-0.46947808296056603
Beechborough-Greenbrook (112),3,0.06448628844101482,-0.9785045705196618
Bendale (127),13,1.8066655513582297,-0.8610257268185978
Birchcliffe-Cliffside (122),4,2.7200016922770924,-0.3199995769307269
Black Creek (24),8,0.9637813854685577,-0.8795273268164303
Blake-Jones (69),3,3.740470849710848,0.2468236165702827
Briar Hill-Belgravia (108),5,1.783899227355676,-0.6432201545288648
Bridle Path-Sunnybrook-York Mills (41),0,0.827156387901605,Inf
Broadview North (57),7,2.906660788770374,-0.5847627444613751
Brookhaven-Amesbury (30),2,0.6816003671730093,-0.6591998164134953
Cabbagetown-South St.James Town (71),21,23.60811108246355,0.1241957658315977
Caledonia-Fairbank (109),2,0.4173710936152836,-0.7913144531923582
Casa Loma (96),11,4.267130251624353,-0.6120790680341497
Centennial Scarborough (133),1,0.23754618647497266,-0.7624538135250274
Church-Yonge Corridor (75),178,134.93947425424105,-0.24191306598740983
Clairlea-Birchmount (120),2,2.430928675934905,0.21546433796745257
Clanton Park (33),18,1.618422144750934,-0.9100876586249481
Cliffcrest (123),3,0.557805926090802,-0.814064691303066
Corso Italia-Davenport (92),10,2.846796454954144,-0.7153203545045856
Danforth (66),4,7.685366206506134,0.9213415516265335
Danforth East York (59),6,2.3776544230897665,-0.6037242628183722
Don Valley Village (47),4,1.1414162918747501,-0.7146459270313125
Dorset Park (126),8,1.3627290578638942,-0.8296588677670133
Dovercourt-Wallace Emerson-Junction (93),64,40.10367931742882,-0.3733800106651747
Downsview-Roding-CFB (26),14,4.117975157120702,-0.7058589173485214
Dufferin Grove (83),26,16.329074660185682,-0.37195866691593527
East End-Danforth (62),16,16.319364705777094,0.019960294111068366
Edenbridge-Humber Valley (9),0,0.6640346189428433,Inf
Eglinton East (138),6,0.934921401377365,-0.8441797664371058
Elms-Old Rexdale (5),1,0.24586444032058646,-0.7541355596794135
Englemount-Lawrence (32),6,3.3596225071949224,-0.4400629154675129
Eringate-Centennial-West Deane (11),0,0.2963221895935327,Inf
