neighborhood,actual_total,predicted_total,rel_bias
Agincourt North (129),5,0.19003323308874703,-0.9619933533822506
Agincourt South-Malvern West (128),4,0.8471135258831024,-0.7882216185292243
Alderwood (20),1,0.40090123447371584,-0.5990987655262842
Annex (95),80,60.12886857324183,-0.2483891428344771
Banbury-Don Mills (42),4,1.2125056320471514,-0.6968735919882121
Bathurst Manor (34),4,0.8646814671211681,-0.783829633219708
Bay Street Corridor (76),189,141.08099911590529,-0.25353968721743236
Bayview Village (52),7,3.6974198014292647,-0.47179717122439074
Bayview Woods-Steeles (49),3,0.06262927212988754,-0.9791235759567042
Bedford Park-Nortown (39),4,1.9031102977901273,-0.5242224255524681
Beechborough-Greenbrook (112),3,0.016849445356978885,-0.9943835182143403
Bendale (127),13,1.6257708808323614,-0.8749407014744338
Birchcliffe-Cliffside (122),4,2.429396960341015,-0.3926507599147463
Black Creek (24),8,0.7966391156274225,-0.9004201105465722
Blake-Jones (69),3,3.3649670148779864,0.12165567162599548
Briar Hill-Belgravia (108),5,1.559749910149408,-0.6880500179701184
Bridle Path-Sunnybrook-York Mills (41),0,0.6777473811121836,NA
Broadview North (57),7,2.59197629265478,-0.6297176724778887
Brookhaven-Amesbury (30),2,0.5471525298828595,-0.7264237350585703
Cabbagetown-South St.James Town (71),21,22.805110747744333,0.08595765465449205
Caledonia-Fairbank (109),2,0.30373778106576893,-0.8481311094671156
Casa Loma (96),11,3.8608912435400984,-0.6490098869509001
Centennial Scarborough (133),1,0.15685938465353666,-0.8431406153464633
Church-Yonge Corridor (75),178,133.53383303780245,-0.2498099267539188
Clairlea-Birchmount (120),2,2.171442131437089,0.08572106571854454
Clanton Park (33),18,1.4055125052254802,-0.9219159719319178
Cliffcrest (123),3,0.44718169736722885,-0.8509394342109237
Corso Italia-Davenport (92),10,2.54720326823793,-0.745279673176207
Danforth (66),4,7.209755418294114,0.8024388545735286
Danforth East York (59),6,2.1240981346364216,-0.6459836442272631
Don Valley Village (47),4,0.9853958754595478,-0.753651031135113
Dorset Park (126),8,1.1777141839259841,-0.852785727009252
Dovercourt-Wallace Emerson-Junction (93),64,39.44233349675779,-0.38371353911315953
Downsview-Roding-CFB (26),14,3.778576788021903,-0.7301016579984355
Dufferin Grove (83),26,15.534354988842935,-0.40252480812142555
East End-Danforth (62),16,15.7074502050509,-0.018284362184318725
Edenbridge-Humber Valley (9),0,0.541963521531756,NA
Eglinton East (138),6,0.7840156746034873,-0.8693307208994189
Elms-Old Rexdale (5),1,0.1592627994701598,-0.8407372005298401
