neighborhood,actual_total,predicted_total,rel_bias
Agincourt North (129),5,4.388030320822579,-0.12239393583548423
Agincourt South-Malvern West (128),4,5.414218101063797,0.3535545252659493
Alderwood (20),1,7.0667803714392,6.0667803714392
Annex (95),80,78.4649672392235,-0.01918790950970628
Banbury-Don Mills (42),4,10.671504038151072,1.667876009537768
Bathurst Manor (34),4,8.367126778333459,1.0917816945833647
Bay Street Corridor (76),189,191.56622569935303,0.013577913753190616
Bayview Village (52),7,11.049295880703744,0.5784708401005348
Bayview Woods-Steeles (49),3,5.742650360916347,0.9142167869721156
Bedford Park-Nortown (39),4,12.56498084217563,2.1412452105439077
Beechborough-Greenbrook (112),3,8.584638699180953,1.8615462330603176
Bendale (127),13,6.652818566850558,-0.48824472562688015
Birchcliffe-Cliffside (122),4,10.687130297215884,1.671782574303971
Black Creek (24),8,6.941365596673685,-0.13232930041578939
Blake-Jones (69),3,17.01291138102483,4.67097046034161
Briar Hill-Belgravia (108),5,12.40187648736174,1.480375297472348
Bridle Path-Sunnybrook-York Mills (41),0,11.69287629958109,NA
Broadview North (57),7,17.176145924760903,1.4537351321087004
Brookhaven-Amesbury (30),2,8.512384687750547,3.2561923438752736
Cabbagetown-South St.James Town (71),21,37.65742044649338,0.7932104974520658
Caledonia-Fairbank (109),2,10.640965980874347,4.320482990437173
Casa Loma (96),11,17.802236960956577,0.6183851782687797
Centennial Scarborough (133),1,5.324871162781858,4.324871162781858
Church-Yonge Corridor (75),178,173.1921522913662,-0.027010380385583153
Clairlea-Birchmount (120),2,10.683332202721585,4.341666101360793
Clanton Park (33),18,10.01495130026019,-0.44361381665221167
Cliffcrest (123),3,6.183135678042658,1.0610452260142191
Corso Italia-Davenport (92),10,14.175372067179023,0.4175372067179023
Danforth (66),4,21.17585887692216,4.29396471923054
Danforth East York (59),6,14.958271174997293,1.493045195832882
Don Valley Village (47),4,7.3491396539050085,0.8372849134762521
Dorset Park (126),8,6.854333264367838,-0.1432083419540202
Dovercourt-Wallace Emerson-Junction (93),64,51.94346372662399,-0.18838337927150017
Downsview-Roding-CFB (26),14,11.248670536529808,-0.19652353310501372
Dufferin Grove (83),26,26.749050640956206,0.028809640036777148
East End-Danforth (62),16,24.907455001303234,0.5567159375814521
Edenbridge-Humber Valley (9),0,7.723527463154296,NA
Eglinton East (138),6,6.363989490956985,0.06066491515949757
Elms-Old Rexdale (5),1,6.2024559594062065,5.2024559594062065
Englemount-Lawrence (32),6,13.475349326657208,1.245891554442868
Eringate-Centennial-West Deane (11),0,6.196094214582301,NA
Etobicoke West Mall (13),2,6.491768436424278,2.245884218212139
Flemingdon Park (44),11,11.35372376059139,0.03215670550830813
Forest Hill North (102),3,14.798116376583724,3.9327054588612413
Forest Hill South (101),4,16.11462736557711,3.0286568413942776
Glenfield-Jane Heights (25),4,8.384088273264888,1.096022068316222
Greenwood-Coxwell (65),16,24.277303395047603,0.5173314621904752
Guildwood (140),3,5.161420416624492,0.7204734722081639
