task_horizon,outer_fold,model,outer_train_end,test_start,test_end,inner_fold,lambda,MAE,RMSE,R2,status,selected
12,1,Basis Ridge (tuned),60,61,72,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,TRUE
1,1,Basis Ridge (tuned),120,121,121,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,TRUE
12,1,Basis Ridge (tuned),60,61,72,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
12,1,Basis Ridge (tuned),60,61,72,1,0.34677369590428986,2.1434843073493393,6.172479984841076,0.06066302272379753,ok,FALSE
